newItemID,oldPriceSum,newPrice,items
1,97,87.3,"151,146"
2,93,83.7,"151,164"
3,40,36.0,"134,128"
4,48,43.2,"134,76"
5,45,40.5,"151,76"
6,37,33.300000000000004,"134,138"
7,40,36.0,"134,142"
8,125,112.5,"141,146"
9,34,30.6,"151,154"
10,33,29.7,"151,130"
11,37,33.300000000000004,"134,154"
12,36,32.4,"134,130"
13,65,58.5,"141,142"
14,107,96.3,"151,177"
15,73,68.13333333333334,"134,76,128"
16,70,65.33333333333333,"151,76,128"
17,16,14.4,"2,123"
18,40,36.0,"134,169"
19,62,57.86666666666667,"134,128,154"
20,62,57.86666666666667,"134,154,128"
21,102,91.8,"139,164"
22,67,62.53333333333333,"151,76,154"
23,70,65.33333333333333,"134,76,154"
24,36,32.4,"134,135"
25,45,40.5,"134,12"
26,65,60.666666666666664,"134,169,128"
27,135,121.5,"141,177"
28,62,57.86666666666667,"151,169,128"
29,70,63.0,"15,100"
30,40,36.0,"134,124"
31,42,37.800000000000004,"135,130"
32,42,37.800000000000004,"151,12"
33,30,27.0,"134,22"
34,68,63.46666666666667,"135,128,154"
35,26,23.400000000000002,"2,188"
36,80,72.0,"141,178"
37,35,31.5,"134,170"
38,25,22.5,"134,25"
39,60,54.0,"134,173"
40,20,18.0,"134,26"
41,45,40.5,"15,25"
42,80,72.0,"100,173"
43,67,62.53333333333333,"134,12,154"
44,64,59.733333333333334,"151,12,154"
45,28,25.2,"2,170"
46,20,18.0,"22,26"
47,65,58.5,"15,176"
48,22,19.8,"134,1"
49,18,16.2,"2,107"
50,45,40.5,"15,107"
51,45,40.5,"15,14"
52,35,31.5,"134,108"
53,25,22.5,"134,107"
54,55,49.5,"15,108"
55,73,68.13333333333334,"135,12,154"
56,35,31.5,"22,108"
57,28,25.2,"2,108"
58,40,36.0,"25,176"
59,35,31.5,"26,176"
60,45,40.5,"187,176"
61,37,33.300000000000004,"161,128"
62,42,37.800000000000004,"168,22"
63,27,24.3,"134,161"
64,23,20.7,"134,123"
65,42,37.800000000000004,"161,12"
66,34,30.6,"161,138"
67,102,91.8,"151,148"
68,117,105.3,"155,148"
69,67,62.53333333333333,"134,156,154"
70,112,100.8,"155,146"
71,37,33.300000000000004,"155,14"
72,42,37.800000000000004,"155,51"
73,108,97.2,"155,164"
74,52,46.800000000000004,"155,128"
75,52,46.800000000000004,"155,160"
76,82,76.53333333333333,"155,156,128"
77,64,59.733333333333334,"161,156,154"
78,49,44.1,"155,138"
79,52,46.800000000000004,"155,124"
80,74,69.06666666666666,"155,128,154"
81,37,33.300000000000004,"155,107"
82,64,59.733333333333334,"151,156,154"
83,45,40.5,"155,46"
84,27,24.3,"161,51"
85,79,73.73333333333333,"155,12,154"
86,70,65.33333333333333,"134,156,128"
87,59,53.1,"155,157"
88,59,55.06666666666667,"161,128,154"
89,57,51.300000000000004,"155,12"
90,28,25.2,"167,46"
91,48,43.2,"155,130"
92,67,62.53333333333333,"151,156,128"
93,79,73.73333333333333,"155,156,154"
94,33,29.7,"134,46"
95,42,37.800000000000004,"151,156"
96,57,51.300000000000004,"155,156"
97,25,22.5,"167,51"
98,30,27.0,"161,46"
99,49,44.1,"155,154"
100,33,29.7,"161,130"
101,64,59.733333333333334,"161,12,154"
102,90,84.0,"15,156,128"
103,34,30.6,"161,154"
104,44,39.6,"161,157"
105,35,31.5,"167,160"
106,45,40.5,"134,156"
107,47,42.300000000000004,"134,157"
108,30,27.0,"159,107"
109,22,19.8,"161,14"
110,22,19.8,"161,107"
111,47,42.300000000000004,"155,170"
112,45,40.5,"159,128"
113,20,18.0,"16,51"
114,42,37.800000000000004,"161,156"
115,75,70.0,"163,156,128"
116,67,62.53333333333333,"161,156,128"
117,38,34.2,"19,46"
118,50,45.0,"159,12"
119,67,60.300000000000004,"155,178"
120,31,27.900000000000002,"2,179"
121,30,27.0,"151,193"
